,date,windspeed
184,2012-10-20T23:59:00,3.5
185,2012-10-21T23:59:00,5.8
186,2012-10-22T23:59:00,4.2
187,2012-10-23T23:59:00,1.3
188,2012-10-24T23:59:00,5.1
189,2012-10-25T23:59:00,3.2
190,2012-10-26T23:59:00,1.6
191,2012-10-27T23:59:00,6.5
192,2012-10-28T23:59:00,11.7
193,2012-10-29T23:59:00,18.8
194,2012-10-30T23:59:00,7.7
195,2012-10-31T23:59:00,5.1
196,2012-11-01T23:59:00,5.9
197,2012-11-02T23:59:00,6.6
198,2012-11-03T23:59:00,8.4
199,2012-11-04T23:59:00,6.6
200,2012-11-05T23:59:00,4.8
201,2012-11-06T23:59:00,5.6
202,2012-11-07T23:59:00,10.5
203,2012-11-08T23:59:00,7.2
204,2012-11-09T23:59:00,8.1
205,2012-11-10T23:59:00,1.5
206,2012-11-11T23:59:00,2.6
207,2012-11-12T23:59:00,3.9
208,2012-11-13T23:59:00,6.1
209,2012-11-14T23:59:00,6.4
210,2012-11-15T23:59:00,4.8
211,2012-11-16T23:59:00,4.8
212,2012-11-17T23:59:00,5.1
213,2012-11-18T23:59:00,6.4
214,2012-11-19T23:59:00,5.7
215,2012-11-20T23:59:00,4.1
216,2012-11-21T23:59:00,4.5
217,2012-11-22T23:59:00,2.6
218,2012-11-23T23:59:00,5.0
219,2012-11-24T23:59:00,10.2
220,2012-11-25T23:59:00,6.8
221,2012-11-26T23:59:00,5.3
222,2012-11-27T23:59:00,5.8
223,2012-11-28T23:59:00,5.5
224,2012-11-29T23:59:00,6.6
225,2012-11-30T23:59:00,5.7
226,2012-12-01T23:59:00,9.0
227,2012-12-02T23:59:00,3.0
228,2012-12-03T23:59:00,3.9
229,2012-12-04T23:59:00,3.0
230,2012-12-05T23:59:00,8.0
231,2012-12-06T23:59:00,3.3
232,2012-12-07T23:59:00,2.5
233,2012-12-08T23:59:00,3.2
234,2012-12-09T23:59:00,6.8
235,2012-12-10T23:59:00,4.0
236,2012-12-11T23:59:00,5.6
237,2012-12-12T23:59:00,3.3
238,2012-12-13T23:59:00,1.5
239,2012-12-14T23:59:00,5.2
240,2012-12-15T23:59:00,3.8
241,2012-12-16T23:59:00,9.0
242,2012-12-17T23:59:00,9.1
243,2012-12-18T23:59:00,7.4
244,2012-12-19T23:59:00,9.3
245,2012-12-20T23:59:00,5.3
246,2012-12-21T23:59:00,10.2
247,2012-12-22T23:59:00,12.2
248,2012-12-23T23:59:00,6.9
249,2012-12-24T23:59:00,3.6
250,2012-12-25T23:59:00,5.6
251,2012-12-26T23:59:00,13.8
252,2012-12-27T23:59:00,12.5
253,2012-12-28T23:59:00,7.3
254,2012-12-29T23:59:00,6.1
255,2012-12-30T23:59:00,11.4
256,2012-12-31T23:59:00,7.6
257,2014-01-01T23:59:00,5.6
258,2014-01-02T23:59:00,12.2
259,2014-01-03T23:59:00,10.4
260,2014-01-04T23:59:00,4.8
261,2014-01-05T23:59:00,3.7
262,2014-01-06T23:59:00,8.5
263,2014-01-07T23:59:00,13.1
264,2014-01-08T23:59:00,7.1
265,2014-01-09T23:59:00,2.9
266,2014-01-10T23:59:00,3.4
267,2014-01-11T23:59:00,7.1
268,2014-01-12T23:59:00,8.2
269,2014-01-13T23:59:00,5.2
270,2014-01-14T23:59:00,5.0
271,2014-01-15T23:59:00,3.0
272,2014-01-16T23:59:00,4.0
273,2014-01-17T23:59:00,3.6
274,2014-01-18T23:59:00,7.2
275,2014-01-19T23:59:00,7.3
276,2014-01-20T23:59:00,7.4
277,2014-01-21T23:59:00,10.4
278,2014-01-22T23:59:00,8.8
279,2014-01-23T23:59:00,7.2
280,2014-01-24T23:59:00,8.1
281,2014-01-25T23:59:00,7.6
282,2014-01-26T23:59:00,
283,2014-01-27T23:59:00,7.8
284,2014-01-28T23:59:00,6.1
285,2014-01-29T23:59:00,6.4
286,2014-01-30T23:59:00,3.8
287,2014-01-31T23:59:00,5.0
288,2014-02-01T23:59:00,3.5
289,2014-02-02T23:59:00,3.1
290,2014-02-03T23:59:00,6.7
291,2014-02-04T23:59:00,2.2
292,2014-02-05T23:59:00,7.1
293,2014-02-06T23:59:00,4.0
294,2014-02-07T23:59:00,6.8
295,2014-02-08T23:59:00,5.0
296,2014-02-09T23:59:00,3.5
297,2014-02-10T23:59:00,7.2
298,2014-02-11T23:59:00,5.3
299,2014-02-12T23:59:00,5.8
300,2014-02-13T23:59:00,12.6
301,2014-02-14T23:59:00,10.4
302,2014-02-15T23:59:00,9.3
303,2014-02-16T23:59:00,9.0
304,2014-02-17T23:59:00,5.4
305,2014-02-18T23:59:00,5.1
306,2014-02-19T23:59:00,5.2
307,2014-02-20T23:59:00,5.0
308,2014-02-21T23:59:00,7.3
309,2014-02-22T23:59:00,7.2
310,2014-02-23T23:59:00,5.4
311,2014-02-24T23:59:00,9.3
312,2014-02-25T23:59:00,7.0
313,2014-02-26T23:59:00,5.4
314,2014-02-27T23:59:00,8.4
315,2014-02-28T23:59:00,4.7
316,2014-03-01T23:59:00,4.4
317,2014-03-02T23:59:00,3.8
318,2014-03-03T23:59:00,6.8
319,2014-03-04T23:59:00,4.7
320,2014-03-05T23:59:00,5.1
321,2014-03-06T23:59:00,8.5
322,2014-03-07T23:59:00,7.9
323,2014-03-08T23:59:00,5.9
324,2014-03-09T23:59:00,6.3
325,2014-03-10T23:59:00,5.4
326,2014-03-11T23:59:00,4.7
327,2014-03-12T23:59:00,5.3
328,2014-03-13T23:59:00,14.1
329,2014-03-14T23:59:00,5.5
330,2014-03-15T23:59:00,9.0
331,2014-03-16T23:59:00,7.5
332,2014-03-17T23:59:00,8.1
333,2014-03-18T23:59:00,7.0
334,2014-03-19T23:59:00,7.2
335,2014-03-20T23:59:00,8.1
336,2014-03-21T23:59:00,7.5
337,2014-03-22T23:59:00,6.9
338,2014-03-23T23:59:00,7.4
339,2014-03-24T23:59:00,6.7
340,2014-03-25T23:59:00,5.9
341,2014-03-26T23:59:00,11.9
342,2014-03-27T23:59:00,6.7
343,2014-03-28T23:59:00,5.3
344,2014-03-29T23:59:00,10.8
345,2014-03-30T23:59:00,10.1
346,2014-03-31T23:59:00,8.3
347,2014-04-01T23:59:00,4.7
348,2014-04-02T23:59:00,1.9
349,2014-04-03T23:59:00,3.7
350,2014-04-04T23:59:00,8.4
351,2014-04-05T23:59:00,8.4
352,2014-04-06T23:59:00,4.2
353,2014-04-07T23:59:00,6.1
354,2014-04-08T23:59:00,6.9
355,2014-04-09T23:59:00,6.9
356,2014-04-10T23:59:00,7.0
357,2014-04-11T23:59:00,5.9
358,2014-04-12T23:59:00,4.3
359,2014-04-13T23:59:00,5.7
360,2014-04-14T23:59:00,7.4
361,2014-04-15T23:59:00,8.8
362,2014-04-16T23:59:00,7.6
363,2014-04-17T23:59:00,7.8
364,2014-04-18T23:59:00,5.4
365,2014-04-19T23:59:00,5.5
366,2014-04-20T23:59:00,6.3
367,2014-04-21T23:59:00,4.2
368,2014-04-22T23:59:00,5.5
369,2014-04-23T23:59:00,9.4
370,2014-04-24T23:59:00,8.6
371,2014-04-25T23:59:00,4.8
372,2014-04-26T23:59:00,5.3
373,2014-04-27T23:59:00,5.9
374,2014-04-28T23:59:00,4.2
375,2014-04-29T23:59:00,9.0
376,2014-04-30T23:59:00,8.2
377,2014-05-01T23:59:00,4.5
378,2014-05-02T23:59:00,4.4
379,2014-05-03T23:59:00,3.4
380,2014-05-04T23:59:00,8.2
381,2014-05-05T23:59:00,7.3
382,2014-05-06T23:59:00,3.9
383,2014-05-07T23:59:00,4.0
384,2014-05-08T23:59:00,4.5
385,2014-05-09T23:59:00,3.1
386,2014-05-10T23:59:00,4.5
387,2014-05-11T23:59:00,3.2
388,2014-05-12T23:59:00,1.8
389,2014-05-13T23:59:00,7.1
390,2014-05-14T23:59:00,4.7
391,2014-05-15T23:59:00,5.3
392,2014-05-16T23:59:00,6.4
393,2014-05-17T23:59:00,5.0
394,2014-05-18T23:59:00,5.7
395,2014-05-19T23:59:00,4.6
396,2014-05-20T23:59:00,3.1
397,2014-05-21T23:59:00,2.5
398,2014-05-22T23:59:00,3.2
399,2014-05-23T23:59:00,4.3
400,2014-05-24T23:59:00,3.6
401,2014-05-25T23:59:00,1.9
402,2014-05-26T23:59:00,4.9
403,2014-05-27T23:59:00,4.2
404,2014-05-28T23:59:00,7.7
405,2014-05-29T23:59:00,4.3
406,2014-05-30T23:59:00,2.4
407,2014-05-31T23:59:00,5.9
408,2014-06-01T23:59:00,3.6
409,2014-06-02T23:59:00,4.4
410,2014-06-03T23:59:00,4.0
411,2014-06-04T23:59:00,3.6
412,2014-06-05T23:59:00,5.5
413,2014-06-06T23:59:00,4.5
