,date,windspeed
5132,2014-06-11T23:59:00,7.1
5179,2014-06-12T23:59:00,5.5
5242,2014-06-13T23:59:00,3.5
5283,2014-06-14T23:59:00,4.7
5308,2014-06-15T23:59:00,4.2
5333,2014-06-16T23:59:00,2.8
5358,2014-06-17T23:59:00,4.0
5383,2014-06-18T23:59:00,5.9
5412,2014-06-19T23:59:00,3.9
5437,2014-06-20T23:59:00,4.4
5462,2014-06-21T23:59:00,4.8
5487,2014-06-22T23:59:00,2.0
5512,2014-06-23T23:59:00,2.6
5537,2014-06-24T23:59:00,5.0
5571,2014-06-25T23:59:00,4.8
5609,2014-06-26T23:59:00,4.7
5640,2014-06-27T23:59:00,3.0
5665,2014-06-28T23:59:00,2.9
5690,2014-06-29T23:59:00,2.7
5715,2014-06-30T23:59:00,2.7
5741,2014-07-01T23:59:00,5.1
5777,2014-07-02T23:59:00,3.7
5828,2014-07-03T23:59:00,2.8
5874,2014-07-04T23:59:00,5.4
5899,2014-07-05T23:59:00,6.8
5924,2014-07-06T23:59:00,4.9
5950,2014-07-07T23:59:00,5.7
5979,2014-07-08T23:59:00,4.6
6008,2014-07-09T23:59:00,4.3
6033,2014-07-10T23:59:00,2.9
6058,2014-07-11T23:59:00,4.0
6083,2014-07-12T23:59:00,3.3
6111,2014-07-13T23:59:00,5.2
6162,2014-07-14T23:59:00,4.5
6222,2014-07-15T23:59:00,2.7
6261,2014-07-16T23:59:00,3.7
6286,2014-07-17T23:59:00,4.0
6311,2014-07-18T23:59:00,4.1
6335,2014-07-19T23:59:00,5.2
6360,2014-07-20T23:59:00,4.0
6387,2014-07-21T23:59:00,1.9
6412,2014-07-22T23:59:00,3.7
6440,2014-07-23T23:59:00,5.0
6469,2014-07-24T23:59:00,4.8
6495,2014-07-25T23:59:00,4.2
6524,2014-07-26T23:59:00,4.2
6553,2014-07-27T23:59:00,3.3
6590,2014-07-28T23:59:00,7.3
6615,2014-07-29T23:59:00,5.0
6640,2014-07-30T23:59:00,2.8
6666,2014-07-31T23:59:00,3.3
6692,2014-08-01T23:59:00,3.7
6730,2014-08-02T23:59:00,6.1
6783,2014-08-03T23:59:00,2.2
6815,2014-08-04T23:59:00,3.4
6840,2014-08-05T23:59:00,2.4
6865,2014-08-06T23:59:00,3.0
6890,2014-08-07T23:59:00,4.2
6915,2014-08-08T23:59:00,3.1
6940,2014-08-09T23:59:00,2.9
6965,2014-08-10T23:59:00,2.9
6990,2014-08-11T23:59:00,3.1
7040,2014-08-12T23:59:00,5.8
7089,2014-08-13T23:59:00,5.5
7114,2014-08-14T23:59:00,4.6
7139,2014-08-15T23:59:00,5.4
7164,2014-08-16T23:59:00,4.0
7189,2014-08-17T23:59:00,3.6
7214,2014-08-18T23:59:00,4.5
7241,2014-08-19T23:59:00,3.9
7266,2014-08-20T23:59:00,2.2
7297,2014-08-21T23:59:00,3.5
7331,2014-08-22T23:59:00,4.7
7364,2014-08-23T23:59:00,4.6
7389,2014-08-24T23:59:00,3.2
7414,2014-08-25T23:59:00,2.6
7439,2014-08-26T23:59:00,2.3
7464,2014-08-27T23:59:00,3.3
7490,2014-08-28T23:59:00,5.4
7515,2014-08-29T23:59:00,3.3
7543,2014-08-30T23:59:00,2.2
7582,2014-08-31T23:59:00,3.3
7608,2014-09-01T23:59:00,3.0
7633,2014-09-02T23:59:00,5.3
7658,2014-09-03T23:59:00,3.4
7683,2014-09-04T23:59:00,2.7
7715,2014-09-05T23:59:00,3.0
7751,2014-09-06T23:59:00,4.6
7777,2014-09-07T23:59:00,4.7
7802,2014-09-08T23:59:00,7.7
7835,2014-09-09T23:59:00,7.9
7869,2014-09-10T23:59:00,5.8
7905,2014-09-11T23:59:00,4.7
7934,2014-09-12T23:59:00,5.1
7996,2014-09-13T23:59:00,5.1
8023,2014-09-14T23:59:00,3.2
8048,2014-09-15T23:59:00,3.0
8094,2014-09-16T23:59:00,2.2
8119,2014-09-17T23:59:00,2.7
8144,2014-09-18T23:59:00,2.6
8171,2014-09-19T23:59:00,7.6
8203,2014-09-20T23:59:00,3.0
8261,2014-09-21T23:59:00,1.6
8289,2014-09-22T23:59:00,6.8
8314,2014-09-23T23:59:00,1.8
